"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SXTZDTZ5","bookSection","2003","Rossebastiano, Alda","La tradition des manuels polyglottes dans l’enseignement des langues","History of Linguistics 1999: Selected papers from the Eighth International Conference on the History of the Language Sciences, 14-19 September 1999, Fontenay-St.Cloud","978-90-272-9671-9","","","","This volume represents a selection of 25 out of altogether 86 papers given at the Eighth International Conference for the History of the Language Sciences (ICHoLS VIII), which took place at the Ecole Normale Supérieure at Fontenay-aux-Roses, near Paris, in September 1999. This conference was marked by three new elements: the integration of the study of Amerindian languages into Western linguistics; a particular emphasis on the history of the teaching of (foreign) languages; and new information on the history of linguistics in Eastern Europe during the Soviet era","2003","2026-06-16 15:58:12","2026-06-16T15:58:12Z","","","","","","","","","Studies in the history of linguistics","99","","","Benjamins","Amsterdam, New York","eng","","","","","K10plus ISBN","","","","","","","","Auroux, Sylvain; Arpin, Joscelyne; Lazcano, Elisabeth; Léon, Jacqueline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CJHKLQQ","bookSection","2002","Šimečková, Alena","Zum Dialog im tschechisch-deutschen Gesprächsbuch von Ondřej Klatovský","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","978-3-11-017541-7","","","","","2002","2026-06-09 19:10:31","2026-06-09T19:10:31Z","","67-76","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9K7DBVHN","bookSection","2002","Rossebastiano, Alda","Deutsch-italienische Vokabulare des 15. Jahrhunderts: Inhalte, Strukturen, Zielgruppen","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","978-3-11-020204-5","","10.1515/9783110202045","https://www.degruyter.com/document/doi/10.1515/9783110202045/html","","2002","2026-06-09 18:53:31","2026-06-09T18:53:31Z","2021-12-01 09:42:50","1–20","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","DOI.org (Crossref)","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MEXFQC8","bookSection","2002","Opava, Zdeněk","Bestseller in der frühen Neuzeit. Die verschiedenen Ausgaben des Gesprächsbüchleins von Ondřej Klatovský","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","978-3-11-017541-7","","","","","2002","2026-06-09 18:53:14","2026-06-09T18:53:14Z","","57-66","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJ59S3AL","bookSection","2002","Miehling, Sandra","Matthias Kramer als Deutschlehrer","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","978-3-11-017541-7","","","","","2002","2026-06-09 18:53:05","2026-06-09T18:53:05Z","","47-55","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP5XNAJE","book","2002","","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","","978-3-11-017541-7","","","","","2002","2026-06-09 18:52:47","2026-06-09T18:52:47Z","","","xv+143","","","","","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELAX2HP5","bookSection","2002","Bruzzone, Barbara","Fremdsprachen in der Adelserziehung des 17. Jahrhunderts: Die Sprachbücher von Juan Angel de Sumarán","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit. Akten des Bamberger Symposions am 18. und 19. Mai 2001","978-3-11-017541-7","","","","","2002","2026-06-09 18:52:19","2026-06-09T18:52:19Z","","37-45","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin","","","","","","Library Catalog - gso.gbv.de","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWFEIAD7","book","2001","Caparrini, Marialuisa","Un manuale di tedesco per Italiani del XV secolo: lo Sprachbuch di Meister Jörg: introduzione all'opera e edizione dei due testimoni fiorentini (Magl. IV 66 e Ashb. 352)","","978-3-87452-943-3","","","","","2001","2026-06-09 18:41:57","2026-06-09T18:41:57Z","","","","","","","","Un manuale di tedesco per Italiani del XV secolo","Göppinger Arbeiten zur Germanistik","694","","","Kümmerle","Göppingen","","","","","","","Stabi 1 A 456560","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDJ3DSCU","bookSection","2012","Kinzel, Till; Mildorf, Jarmila","New perspectives on imaginary dialogues: An interdisciplinary dialogue","Imaginary Dialogues in English. Explorations of a Literary Form","","","","","","2012","2026-06-09 18:17:02","2026-06-09T18:17:02Z","","9-28","","","","","","","","","","","Winter","Heidelberg","","","","","","","","","","","","","","Kinzel, Till; Jarmila, Mildorf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBTTP5JJ","journalArticle","2013","Reinfried, Marcus","L’historiographie de l’enseignement du français langue étrangère en Allemagne. Un abrégé de son évolution","Documents pour l'histoire du français langue étrangère ou seconde","","0992-7654, 2221-4038","10.4000/dhfles.3705","https://journals.openedition.org/dhfles/3705","","2013","2026-06-09 16:20:52","2026-06-09T16:20:52Z","2026-06-09 16:20:52","205-221","","","50","","dhfles","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIEJJJUW","journalArticle","2009","Martínez González, Antonio","Juan Ángel de Zumarán y su tiempo: <i>La Grammatica y pronvnciacion alemana y española. Española y alemana </i>(1634)","Romanistisches Jahrbuch","","1613-0413","10.1515/9783110209044.2.3.376","https://www.degruyter.com/view/j/roma.2009.59.issue-1/9783110209044.2.3.376/9783110209044.2.3.376.xml?rskey=0IUR6k&result=1&q=zumar%C3%A1n","","2009","2026-06-09 15:47:38","2026-06-09T15:47:38Z","","376–409","","","59","","","","","","","","","","","","","","","DeGruyter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
