"Entry type","Autor einheitl.","Vollständiger Titel","Druckjahr","Verlagsort","Link zum Digitalisat"
"OLD","Barnabé, Stephanus","Kurtze wohlbegründete Unterweisung der frantzösischen Sprach ","1656","Wien","http://diglib.hab.de/drucke/xb-2698/start.htm"
"OLD","Barnabé, Stephanus","Vnterweisung, Der Spanischen Sprach","1657","Wien","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11105080-6"
"OLD","Barnabé, Stephanus","Grammatica seu instructio linguae germanicae ","1658","Wien","https://www.google.de/books/edition/Grammatica_seu_Instructio_lingu%C3%A6_German/5RNmAAAAcAAJ?hl=de&gbpv=0"
"OLD","Barnabé, Stephanus","Underweisung der italianischen Sprach","1663","Wien","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11346600-9"
"OLD","Barnabé, Stephanus","Teutsche und italiänische Discurs : Sambt Etlichen Proverbien, Historien und Fabeln","1668","München",""
"OLD","Barnabé, Stephanus","Teutsche und Jtalianische Discurs, Sambt etlichen Proverbien, Historien und Fabeln","1668","Wien",""
"OLD","Barnabé, Stephanus","Underweisung der italianischen Sprach","1670","Wien","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11105189-4"
"OLD","Barnabé, Stephanus","Unterweisung Der Italianischen Sprach / Zusammen getragen/ Durch Stephanum Barnabe","1672","Wien","http://diglib.hab.de/drucke/ki-2/start.htm"
"OLD","Barnabé, Stephanus","Teutsche und Jtalianische Discurs, Sambt etlichen Proverbien, Historien und Fabeln","1673","München","https://books.google.com.co/books?id=iOpDAAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"
"OLD","Barnabé, Stephanus","Unterweisung Der Italianischen Sprach","1675","Wien","http://digital.slub-dresden.de/id334091012"
"OLD","Barnabé, Stephanus","Unterweisung der Italianischen Sprache","1679","Wien","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587934-7"
