start_date,end_date,type,title,desc,display_date,link
2026-03-04,2026-03-05,event,Workshop: Female voices from below: Gender-specific differences in language use in the early modern period  (University of Hamburg),,"March 4–5, 2026",
2026-01-17,2026-01-17,event,"Salon Sophie Charlotte ""Konflikte lösen"" (Berlin-Brandenburg Academy of Sciences and Humanities)","Performed reading with commentary: ""Wo gehandelt wird, da fallen Flüche… Konfliktkultur im historischen Kaufmannsalltag"" with Elena Bandt, Liv Büchler, Josephine Klingebeil, Carlotta Schilke, Peer Scholl, Anja Schramm und Horst Simon ","January 17, 2026, Berlin",https://salon.bbaw.de/programm
2025-12-03,2025-12-04,event,Young scientists' conference: Third Rencontres of young researchers in historical linguistics (University Grenoble Alpes ) ,"Lecture: ""Apprendre le français en Allemagne au début de l'ère moderne : un aperçu des manuels de langues étrangères"" with Elena Bandt","December 4–5, 2025, Grenoble",https://rencontreslh3.sciencesconf.org/?lang=fr
2025-10-08,2025-10-10,event,17th Annual Conference of the Society for Germanic Linguistic History: Linguistic Diversity Through the Ages: Historical Perspectives on Multilingualism and Language Contact,"With Natalia Filatkina, Ingrid Schröder","October 8–10, 2025, University of Hamburg",https://www.germanistische-sprachgeschichte.de/jahrestagung/aktuelle-tagung/
2025-10-01,2025-10-03,event,Annual Conference of the Matthias-Kramer-Gesellschaft ,"Lecture: ""Representation of Social Groups in Historical Foreign Language Textbooks"" with Josephine Klingebeil-Schieke, Elena Bandt, Lisa Scharrer.","October 1–3, 2025, Vienna",
2025-09-29,2025-09-30,event,Conference: Migrationsonomastik: Personennamen im Kontext von Wanderungsbewegungen (Academy of Sciences and Literature Mainz),"Lecture: ""‘Geſpraͤch zwiſchen zweyen Freunden, der eine mitt Nahmen Mora, vnd der ander Aguilar…’ – ein Blick auf Personennamen in historischen Fremdsprachenlehrwerken"" with Josephine Klingebeil-Schieke, Elena Bandt","September 29–30, 2025, Mainz",
2025-09-13,2025-09-14,event,"Mainz Science Market: Project presentation of the academy project ""Early Modern Foreign Language Textbooks in Digital Form""","Project presentation at the Mainz Science Market with (among others) Josephine Klingebeil-Schieke, Miriam Hinterholzer, Lisa Scharrer, Elena Volkanovska,  Falco  Risch.","September 13–14, 2025, Mainz",https://www.wissenschaftsallianz-mainz.de/en/wissenschaftsmarkt/2025
2025-09-03,2025-09-05,event,The Annual Henry Sweet Society Colloquium: Linguistics and Rhetoric: A Tale of Two Frenemies (University of Reims Champagne-Ardenne),"Lecture: ""Teaching rhetoric by demonstration: A glimpse into persuasive strategies in Early Modern foreign language texbooks"" with Elena Bandt, Horst Simon","September 3–5, 2025, Reims",https://hss-2025.sciencesconf.org/
2025-08-25,2025-08-25,event,Project presentation at the Sorbian Institute Bautzen  ,With Josephine Klingebeil-Schieke,"August 25, 2025, Bautzen",
2025-07-16,2025-07-16,event,Tagung: Mehrsprachigkeit. Kommunikationsformen in der Stadt und am Hof (ca. 1200–1600) (Universität Greifswald),"Lecture: ""Stimmen aus der Frühen Neuzeit: Fremdsprachenlehrwerke als Spiegel europäischer Mehrsprachigkeit"" with Elena Bandt, Josephine Klingebeil-Schieke","July 16, 2025, Greifswald",
