authors,year,title,venue,type,doi,url,note
"Büchler, Liv",2026,Positionierungsbezogene Funktionen von man in Musterdialogen frühneuzeitlicher Fremdsprachenlehrwerke,"In Antje Dammel, Wolfgang Imo & Jens P. Lanwer (Hg.), Pronomengebrauch und stance taking (Studien zur Pragmatik). Tübingen: Narr.",in_press,,,
"Filatkina, Natalia",2015,Implicit Understandings. Was uns historische Sprachlehrbücher über Sprachbewusstsein und Sprachgebrauch verraten,"In Regula Schmidlin, Heike Behrens & Hans Bickel (Hg.), Sprachgebrauch und Sprachbewusstsein: Implikationen für die Sprachtheorie, 71-101. Berlin & Boston: De Gruyter.  ",chapter,https://doi.org/10.1515/9783110428674-005 ,,
"Hübner, Julia & Kerstin Roth",2026,Was ist eigentlich normal? Sprachhistorische Perspektiven auf ein vielschichtiges Konzept,Zeitschrift für Literaturwissenschaft und Linguistik 56(2).  ,in_press,,,
"Roth, Kerstin",2025,Einblicke in den Schlüssel zur Polnischen und Teutschen Sprach von Jeremias Roter (1585-1630),"In Sylvia Brockstieger, Krzysztof Zarski & Dirk Werle (Hg.), Identität in Sprache und Literatur. Räume und Konstellationen zwischen Schlesien und Kurpfalz, S. 19-32. Wiesbaden: Harrassowitz.",chapter,,,
"Hübner, Julia & Natalia Filatkina",2023,Morphosyntax als Beschreibungsgegenstand der frühneuzeitlichen Fremdsprachenlehrwerke,"Jahrbuch für Germanistische Sprachgeschichte 14(1), 122-142.",paper,https://doi.org/10.1515/jbgsg-2023-0010,,
"Filatkina, Natalia",2020,Zeit-Muster in frühneuzeitlichen Fremdsprachenlehrwerken zwischen Tradition und Variation,"Sprachwissenschaft 45(3), 319-342.",paper,,,
"Filatkina, Natalia",2025,Fremdsprachenlehrwerke aus der Frühen Neuzeit als Textmuster - Textmuster in den Fremdsprachenlehrwerken,"In Claudia Wich-Reif (Hg.), Zur Geschichte von Textsorten. Textmuster vom 8. bis zum 18. Jahrhundert Akten zum internationalen Kongress vom 15. bis 17. Juni 2023 an der Rheinischen Friedrich-Wilhelms-Universität Bonn (Berliner Sprachwissenschaftliche Studien 42), 335-359. Berlin: Weidler.  ",chapter,,,
"Filatkina, Natalia",2013,Graw rock rydt nicht. Russisch-niederdeutsche Sprachlehrbücher zwischen zwei Sprachen und Kulturen,"Niederdeutsches Wort 53, 39-63.",paper,,,
"Horst, Simon J.",2024,Sprechen lernen mit dem Auge. Intermediale Transferprozesse in Fremdsprachenlehrwerken des 17. Jahrhunderts,"In Mira Becker-Sawatzky, Katrin Wächter, Helge Wendt, Şirin Dadaş, Anne Eusterschulte, Kristiane Hasselmann, Andrew James Johnston, Falk Quenstedt, Claudia Reufer, Hanna Zoe Trauer & Christian Vogel (Hg.), Logbuch Wissensgeschichte. Beiträge zu einer transdisziplinären Wissensgeschichte (Episteme in Bewegung 36), 304-309. Wiesbaden: Harrassowitz. ",,,,
"Horst, Simon J.",2006,Reconstructing historical orality in German - what sources can we use?,"In Irma Taavitsainen, Juhani Härmä & Jarmo Korhonen (Hg.), Dialogic Language Use - Dimensions du dialogisme - Dialogischer Sprachgebrauch (Mémoires de la Société Néophilologique de Helsinki 66), 7-26. Helsinki: Société Néophilologique . ",chapter,,,
"Hübner, Julia & Horst J. Simon (Hg.)",2021,Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven - Potentiale - Herausforderungen ,"(Episteme in Bewegung 24), Wiesbaden: Harrassowitz. ",volume,https://doi.org/10.13173/9783447117234,,
"Büchler, Liv & Horst J. Simon (Hg.)",2026,Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Close Reading,"(Episteme in Bewegung), Wiesbaden: Harrassowitz. ",in_press,,,
"Filatkina, Natalia",2021,Übersetzungskulturen und Wissensvermittlung im Spiegel frühneuzeitlicher Fremdsprachenlehrwerke ,"In Julia Hübner & Horst J. Simon (Hg.), Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven - Potentiale - Herausforderungen (Episteme in Bewegung 24), 9-31. Wiesbaden: Harrassowitz. ",chapter,,,
"Hübner, Julia & Horst J. Simon",2021,Frühneuzeitliche Fremdsprachenlehrwerke als sprach- und wissensgeschichtlicher Gegenstand,"In Julia Hübner & Horst J. Simon (Hg.), Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven - Potentiale - Herausforderungen (Episteme in Bewegung 24), 1-7. Wiesbaden: Harrassowitz.   ",chapter,,,
"Rapp, Andrea",2025,Was folgt auf die digitale Philologie? Überlegungen zum Stand der Integration von Digitalität in die (altgermanistische) Philologie am Beispiel des Korpus der frühneuhochdeutschen Fremdsprachenlehrwerke ,"Mitteilungen des Deutschen Germanistenverbandes 72(4), 398-409.     ",chapter,https://doi.org/10.14220/mdge.2025.72.4.398,,
"Bandt, Elena, Liv Büchler & Kerstin Roth",2026,Warumb ſchreibeſtu ſo krump - Spuren deutschsprachiger Regionalität und Variation in frühneuzeitlichen Fremdsprachenlehrwerken ,"In Andreas Krogull, Stefaniya Ptashnyk & Kerstin Roth (Hg.), Historische Mehrsprachigkeit. Multilinguale Praktiken und Sprachkontakte mit Deutsch vom 15. bis 20. Jahrhundert (Germanistische Bibliothek), Heidelberg: Winter. ",in_press,,,
"Krogull, Andreas, Stefaniya Ptashnyk & Kerstin Roth  (Hg.)",2026,Historische Mehrsprachigkeit. Multilinguale Praktiken und Sprachkontakte mit Deutsch vom 15. bis 20. Jahrhundert,"(Germanistische Bibliothek), Heidelberg: Winter.",in_press,,,
