"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RHNJMVP2","book","2002","","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit","","978-3-11-017541-7","","","https://doi.org/10.1515/9783110202045","","2002","2024-07-04 14:40:44","2024-07-04 14:43:19","","","","","","","","","Die Geschichte des Deutschen als Fremdsprache","3","","","De Gruyter","Berlin, New York","","","","","","","","","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6I6956C","bookSection","2002","Glück, Helmut","Sprachbücher, Glossare, Lexika und Grammatiken","Deutsch als Fremdsprache in Europa vom Mittelalter bis zur Barockzeit","978-3-11-088115-8","","","https://doi-org.wwwdb.dbod.de/10.1515/9783110881158","","2002","2024-07-03 07:42:26","2025-08-11 14:50:26","","","","","","","","","","","","","De Gruyter","","","","","","","","","","","C:\Users\debaj\Zotero\storage\TW7KWHMU\10.1515_9783110881158.412.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2JN8EEI","bookSection","2024","Simon, Horst J.","Sprechen lernen mit dem Auge. Intermediale Transferprozesse in Fremdsprachenlehrwerken des 17. Jahrhunderts","Logbuch Wissensgeschichte. Beiträge zu einer transdisziplinären Wissensgeschichte","978-3-447-12180-4","","","https://www.harrassowitz-verlag.de/isbn_9783447121804.ahtml","","2024","2024-06-10 14:17:23","2024-06-10 14:19:00","2024-06-10 14:17:23","304-309","","","","","","","Episteme","36","","","Harrassowitz Verlag","","","","","","","DOI.org (Crossref)","","DOI: 10.13173/9783447121804.304","","","","","","Becker-Sawatzky, Mira; Dadaş, Şirin; Eusterschulte, Anne; Hasselmann, Kristiane; Johnston, Andrew James; Quenstedt, Falk; Reufer, Claudia; Trauer, Hanna Zoe; Vogel, Christian; Wächter, Katrin; Wendt, Helge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJE3DVHS","journalArticle","2018","Smith, Richard; McLelland, Nicola","Histories of language learning and teaching in Europe","The Language Learning Journal","","0957-1736","10.1080/09571736.2017.1382051","","","2018","2024-05-08 09:52:39","2024-05-08 09:55:41","2024-04-04","1-5","","1","46","","","","","","","","","","English","","","","","","","","","","","Sprachlehre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQQF8FSU","book","2023","Hübner, Julia","Norm und Variation: Paradigmenwechsel anhand frühneuzeitlicher Fremdsprachenlehrwerke","","978-3-11-116871-5","","","https://www.degruyter.com/document/doi/10.1515/9783111168715/html","","2023","2024-05-08 09:45:44","2025-09-17 14:44:31","2024-05-08 09:45:44","","","","","","","Norm und Variation","Studia Linguistica Germanica","144","","","De Gruyter","Berlin; Boston","","","","","","DOI.org (Crossref)","","DOI: 10.1515/9783111168715","","C:\Users\debaj\Zotero\storage\JAMURHC3\HÜBNER_2023_Norm_und_Variation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8RM6Z26","book","2020","Tosi, Arturo","Language and the Grand Tour: Linguistic Experiences of Travelling in Early Modern Europe","","","","","","","2020","2024-05-08 09:46:44","2024-05-08 09:49:51","","","","","","","","","","","","","Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWFEIAD7","book","2001","Caparrini, Marialuisa","Un manuale di tedesco per Italiani del XV secolo : lo Sprachbuch di Meister Jörg : introduzione allópera e edizione dei due testimoni fiorentini (Magl. IV 66 e Ashb. 352)","","978-3-87452-943-3","","","","","2001","2025-04-29 15:43:02","2025-04-29 15:43:02","","","","","","","","Un manuale di tedesco per Italiani del XV secolo","Göppinger Arbeiten zur Germanistik","","","","Kümmerle","Göppingen","","","","","","","Stabi 1 A 456560","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79D94FQ2","book","1994","Caravolas, Jean-Antoine","La didactique des langues. Précis d'Histoire I 1450-1700","","978-3-8233-4366-0 978-2-7606-1618-9","","","","","1994","2025-04-29 12:21:00","2025-04-29 12:21:00","","","432","","1","","","La didactique des langues. 1","","","","","Narr","Tübingen","fre","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNQRJA6N","book","2000","Sijs, Nicoline van der","'Wie komt daar aan op die olifant ?': Een zestiende-eeuws taalgidsje voor Nederland en Indië, inclusief het verhaal van de avontuurlijke gevangenschap van Frederik de Houtman in Indië","","978-90-204-5890-9","","","","","2000","2025-04-29 08:53:22","2025-04-29 08:53:22","","","","","","","","Wie komt daar aan op die olifant ?","","","","","Veen","Amsterdam","dut","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SE68NQJ","bookSection","2002","Miehling, Sandra","Matthias Kramer als Deutschlehrer","Die Volkssprachen als Lerngegenstand im Mittelalter und in der frühen Neuzeit","978-3-11-017541-7","","","https://www.degruyter.com/document/doi/10.1515/9783110202045.47/html","","2002-11-20","2025-04-28 13:32:55","2025-04-28 13:32:55","2025-02-10 14:57:08","47-56","","","","","","","","","","","Walter de Gruyter","","","","","","","DOI.org (Crossref)","","DOI: 10.1515/9783110202045.47","","","","","","Glück, Helmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
