"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BCXNXV9G","bookSection","2024","Gennies, Linda","Handlungswissen und Strukturwissen in frühneuzeitlichen Sprachbüchern","Logbuch Wissensgeschichte","978-3-447-12180-4 978-3-447-39520-5","","10.13173/9783447121804","","","2024","2026-06-16 07:39:08","2026-06-16T07:39:08Z","","131-148","","","","","","","Episteme in Bewegung","36","","","Harrassowitz","Wiesbaden","ger","","","","","K10plus ISBN","","","","","","","","Becker-Sawatzky, Mira; Dadaş, Şirin; Eusterschulte, Anne; Hasselmann, Kristiane; Johnston, Andrew James; Quenstedt, Falk; Reufer, Claudia; Trauer, Hanna Zoe; Vogel, Christian; Wächter, Katrin; Wendt, Helge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P5Q6WGC","book","2025","","Historiographie linguistique et enseignement de l'espagnol en France (XVIe - XVIIIe siècle). Du livre ancien aux humanités numériques","","978-2-36783-434-4","","","","","2025","2026-06-16 07:37:14","2026-06-16T07:37:14Z","","","","","","","","","Culture et Numérique","5","","","Éditions Orbis Tertius","","fre","","","","","","","","","","","","","Maux, Marie-Hélène; Richer-Rossi, Françoise; Zuili, Marc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4MUCIUY4","bookSection","2026","Büchler, Liv; Simon, Horst J.","Historische Fremdsprachenlehrwerke genau lesen: Quellen, Methoden, Perspektiven","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","978-3-447-12549-9","","","","","2026","2026-06-09 19:13:25","2026-06-09T19:13:25Z","","1-14","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C7683XA","bookSection","2026","Dammel, Antje","<i>O mein Gott / was verziecht ihr so lang?</i> Pragmatische Marker und sequenzielle Muster in drei frühneuzeitlichen Sprachlehrwerken","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","127-158","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHLK78CZ","bookSection","2026","Imo, Wolfgang","""Unflat / der du bist / sichst nit / daß alles feicht ist“ – Vorwurfssequenzen in Lehrwerken der Frühen Neuzeit","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","179-200","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD7UB24C","bookSection","2026","Scharinger, Thomas","Fremdsprachenlehrwerke als Quelle zur Erforschung historischer Sprachkontaktsituationen am Beispiel des Französischen im deutschsprachigen Raum des 17. und 18. Jahrhunderts","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","203-227","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWSI2WZA","bookSection","2026","Corvo Sánchez, María José","Von <i>Tyrocinium </i>(1617) bis zu <i>Das Newe Sprachbuch </i>(1621): die neue Methode von Juan Ángel de Zumaran (fl. 1617−1636)","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","305-327","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPBLEHER","bookSection","2026","Hübner, Julia","Zwischen tugendsamer Frau und Ehebrecherin. Frauen in historischen Fremdsprachenlehrwerken","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","329-345","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7D85R68X","bookSection","2026","Haßler, Gerda","Konzepte des Sprachdenkens in Sprachlehrwerken","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","347-366","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67QUVHCM","bookSection","2026","Moulin, Claudine","Permeabilität und Wandlung – Pierre Canel, <i>Königliche Teutsche Grammatic </i>(Nürnberg 1689)","Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Linguistic Close Reading","","","","","","2026","2026-06-09 19:12:01","2026-06-09T19:12:01Z","","367-393","","","","","","","Episteme in Bewegung","46","","","Harrassowitz","Wiesbaden","","","","","","","","","","","","","","Büchler, Liv; Simon, Horst J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
