start_date,end_date,type,title,desc,display_date,link
2026-11-05,2026-11-05,event,Ausstellungseröffnung: „Real Talk! Sprache. Macht. Welt.” (Museum für Kommunikation Berlin)  ,,"5. November 2026, Berlin",https://www.mfk-berlin.de/ausstellung-real-talk/
2026-10-08,2026-10-10,event,6. Transphilologische Jahrestagung <i>Femmes de Lettres</i> der FONTE-Stiftung (Humboldt-Universität zu Berlin),Vortrag: „Dialoge im historischen Fremdsprachenlehrwerk <i>La pierre de touche ou le secret de délier la langue / Der Probier-Stein Oder Die Kunst di ezunge aufzuloesen</i> (1699) von Madame La Roche“ mit Kerstin Roth,"8.–10. Oktober 2026, Berlin",https://fonte-stiftung.de/gefoerderte_tagungen.html
2026-10-07,2026-10-09,event,"Tagung: Verfestigungen und Routinen: Muster, Konstruktionen, Gattungen (18 Jahrestagung der GGSG, Campus Essen)",Vortrag: „Sprachliche Muster in Vorworten historischer Fremdsprachenlehrwerke“ mit Kerstin Roth,"7.–9. Oktober 2026, Essen",https://www.uni-due.de/ggsg2026/ggsg_2026.php
2026-10-01,2026-10-02,event,Workshop: Zeiten des Mangels – frühneuzeitliche Literatur unter den Eindrücken der 'Kleinen Eiszeit' (Universität Münster),"Vortrag: Die Spuren der 'Kleinen Eiszeit' in der Literatur der frühen Neuzeit (1570-1780) mit Kerstin Roth, Lisa Scharrer und Miriam Hinterholzer","01. und 02. Oktober, Münster",https://francoromanistes.de/startseite-frt/
2026-09-29,2026-10-02,event,15. Kongress des Frankoromanistikverbands (Universität Kassel),Vortrag: „Manuels de langues étrangères de l’époque Moderne“ mit Elena Bandt,"29. September – 1. Oktober 2026, Kassel ",https://francoromanistes.de/startseite-frt/
2026-09-28,2026-09-30,event,Historical Sociolinguistics Network Conference HiSoN: Spoken and Written Discourse in Historical Sources (Universität Salzburg) ,"Vortrag: „Early Modern foreign language textbooks as sources for historical spoken language research: investigating ‘orality’ in model dialogue“ mit Horst Simon, Liv Büchler ",28.–30. September 2026 Salzburg ,https://hison.org/
2026-09-20,2026-09-23,event,Symposium Deutschdidaktik (Martin Luther Universität Halle-Wittenberg),Vortrag: „Sprachgeschichte als fachlogischer Zugang zu Mehrsprachigkeit im Deutschunterricht“ mit Miriam Hinterholzer   ,"20.–23. September 2026, Halle (Saale) ",https://sdd2026.philfak3.uni-halle.de/
2026-09-08,2026-09-08,event,Akademientag „Von Moin bis Meme. Sprache macht Gesellschaft“ (Niedersächsische Akademie zu Göttingen),"Moderation:  Fishbowl „Sprache – Sproch – Language – Dil“ mit Natalia Filatkina und Projektpräsentation im Forschungsparcours mit Miriam Hinterholzer, Lisa Scharrer und Josephine Ulbricht","8. September 2026, Göttingen",https://www.akademienunion.de/akademientag/akademientag/von-moin-bis-meme-sprache-macht-gesellschaft
2026-09-02,2026-09-04,event,Jahreskolloquium der Henry Sweet Society: (Non-)Native Speakers in the History of Linguistic Ideas (Universät Nottingham),"Vortrag: „‘Native’ and ‘non-native’ speaker teachers in early modern foreign language textbooks“ mit Horst Simon, Elena Bandt, Liv Büchler","2.–4. September 2026, Nottingham",https://hss2026.sciencesconf.org/
2026-07-02,2026-07-03,event,"Tagung: Weiblich sprechen – weibisch reden? Historische, soziolinguistische und pragmatische Perspektiven auf den Sprachgebrauch von Frauen im Deutschen bis zum 18. Jh. (Universität Padua) ","Vortrag: „Autorinnen historischer Fremdsprachenlehrwerke als Sprachvermittlerinnen. Weiblich sprechen – weiblich reden? Historische, soziolinguistische und pragmatische Perspektiven“ mit Kerstin Roth","2.–3. Juli 2026, Padua",
2026-06-18,2026-06-18,event,Öffentlicher Abendvortrag: „Le Français classique pour la poche. Apprendre les langues aux XVIe et XVIIe siècles: un regard dans les manuels de langues étrangères en Europe”,"mit Elena Bandt, Liv Büchler, Horst Simon ( Mundolingua – das Sprachenmuseum Paris)  ","18. Juni 2026, Paris",
2026-06-15,2026-06-18,event,"23rd International Conference on English Historical Linguistics, ICEHL–23 (Universität Mailand)  ","Vortrag: „Formulaic Language in Early Modern Foreign Language Textbooks: Phraseology, Pedagogy and Practice“ mit Miriam Hinterholzer, Natalia Filatkina  ","15.–18. Juni 2026, Mailand",
2026-05-19,2026-05-19,event,Kolloquium „Inquiry oriented dialogues” (Universität Freiburg),"Vortrag: „Dialoge in frühneuzeitlichen Fremdsprachenlehrwerken. Muster, Mündlichkeit und Erschließungsperspektiven“ mit Luise Borek","19. Mai 2026, Freiburg",
2026-04-27,2026-04-27,event,"Online-Vortrag: „Historische Fremdsprachenlehrwerke digital. Erschließung historischer, mehrsprachiger Quellen: Kontext und Herausforderungen”","Online-Vortrag beim Virtuellen DH-Kolloquium der Berlin-Brandenburgischen Akademie der Wissenschaften mit Janine Rauchmann, Kerstin Roth, Lisa Scharrer, Josephine Ulbricht ","27. April 2026, Online",https://dhd-blog.org/?p=23693
2026-03-31,2026-03-31,event,"Öffentlicher Abendvortrag: „,Pflantz-Garten aller Sprachen, Wissenschafften vnd Kuͤnste’. Die ‚Janua linguarum‘ des J. A. Comenius – mehr als ein Sprachlehrbuch“ mit Dominika Bopp (Universität Heidelberg)  ","Johann Amos Comenius (1592-1670) war bereits zu Lebzeiten als Pädagoge und Didaktiker weithin bekannt. Besonders einige seiner Sprachlehrbücher, die seine pädagogisch-konzeptionellen Ansätze in der Praxis umsetzen sollten, wurden zu europäischen Bestsellern. ","31. März 2026, Berlin",https://www.bbaw.de/veranstaltungen/veranstaltung-die-janua-linguarum-des-j-a-comenius-mehr-als-ein-sprachlehrbuch
2026-03-04,2026-03-05,event,Workshop: Unsichtbare Frauen. Neue Perspektiven auf eine Sprachgeschichte der Frau (Universität Hamburg),,"4.–5. März 2026, Hamburg",
2026-01-17,2026-01-17,event,Salon Sophie Charlotte „Konflikte lösen“ (Berlin-Brandenburgische Akademie der Wissenschaften),"Kommentierte szenische Lesung: „Wo gehandelt wird, da fallen Flüche… Konfliktkultur im historischen Kaufmannsalltag“ mit Elena Bandt, Liv Büchler, Josephine Klingebeil, Carlotta Schilke, Peer Scholl, Anja Schramm und Horst Simon ","17. Januar 2026, Berlin",https://salon.bbaw.de/programm
2025-12-03,2025-12-04,event,Nachwuchstagung: 3e Rencontres des jeunes chercheur·ses en linguistique historique (Universität Grenoble Alpes) ,Vortrag: „Apprendre le français en Allemagne au début de l'ère moderne : un aperçu des manuels de langues étrangères“ mit Elena Bandt,"05. Dezember 2025, Grenoble",https://rencontreslh3.sciencesconf.org/?lang=fr
2025-10-08,2025-10-10,event,"Tagung: Sprachenvielfalt im Wandel der Zeit: Historische Perspektiven auf Mehrsprachigkeit und Sprachkontakt (17. Jahrestagung der GGSG, Universität Hamburg)","Organisation: Natalia Filatkina, Ingrid Schröder; Vorträge: „Einblicke in Personenreferenzen in frühneuzeitlichen Fremdsprachenlehrwerken“ mit Liv Büchler; „‚Nuj no sauemo zo che nuj douemo dir‘. Das Sprachbuch des Georg von Nürnberg“ mit Josephine Klingebeil-Schieke und Francesca Vertullo; „‚Ridendô Docémur‘ – eine Comédie pastorale als historisches Zeugnis europäischer Mehrsprachigkeit“ mit Ralph Christoph und Josephine Klingebeil-Schieke   ","08.–10. Oktober 2025, Hamburg",https://www.germanistische-sprachgeschichte.de/jahrestagung/tagungsarchiv/
2025-10-01,2025-10-03,event,Jahreskonferenz der Matthias-Kramer-Gesellschaft: Institutionalisierter Sprachunterricht und Mehrsprachigkeit als politische Machtinstrumente im Übergang von der Frühen Neuzeit in die Moderne (Wien),"Vortrag: „Repräsentation sozialer Gruppen in historischen Fremdsprachenlehrwerken aus der Frühen Neuzeit“ mit Elena Bandt, Josephine Klingebeil-Schieke, Lisa Scharrer","01.–03. Oktober 2025, Wien",
2025-09-29,2025-09-30,event,Tagung: Migrationsonomastik: Personennamen im Kontext von Wanderungsbewegungen (Akademie der Wissenschaften und der Literatur Mainz),"Vortrag: „‚Geſpraͤch zwiſchen zweyen Freunden, der eine mitt Nahmen Mora, vnd der ander Aguilar…’ – ein Blick auf Personennamen in historischen Fremdsprachenlehrwerken“ mit Josephine Klingebeil-Schieke, Elena Bandt","29.–30. September 2025, Mainz",
2025-09-13,2025-09-14,event,Mainzer Wissenschaftsmarkt: Projektpräsentation des Akademienvorhabens „Historische Fremdsprachenlehrwerke digital“ ,"Projektvorstellung mit Josephine Klingebeil-Schieke, Miriam Hinterholzer, Lisa Scharrer, Elena Volkanovska und Falco  Risch  ","13.–14. September 2025, Mainz",https://www.wissenschaftsallianz-mainz.de/wissenschaftsmarkt/2025
2025-09-03,2025-09-05,event,Jahreskolloquium der Henry Sweet Society: Linguistics and Rhetoric: A Tale of Two Frenemies (Universität Reims Champagne-Ardenne),"Vortrag: „Teaching rhetoric by demonstration: A glimpse into persuasive strategies in Early Modern foreign language textbooks“ mit Elena Bandt, Horst Simon","03.–05. September 2025, Reims",https://hss-2025.sciencesconf.org/
2025-08-25,2025-08-25,event,Werkstattbericht im Sorbischen Institut Bautzen,Mit Josephine Klingebeil-Schieke,"25. August 2025, Bautzen",
2025-07-16,2025-07-16,event,Tagung: Mehrsprachigkeit. Kommunikationsformen in der Stadt und am Hof (ca. 1200–1600) (Universität Greifswald),"Vortrag: „Stimmen aus der Frühen Neuzeit: Fremdsprachenlehrwerke als Spiegel europäischer Mehrsprachigkeit“ mit Elena Bandt, Josephine Klingebeil-Schieke","16. Juli 2025, Greifswald",
2025-05-22,2025-05-23,event,"Historical Sociolinguistics Network Conference: HiSoN 20 years on: past, present, future (University of Bristol)","Vorträge: „Learning foreign languages from below: witnesses of the early modern period“ mit Liv Büchler, Josephine Klingebeil-Schieke; „Comparative Historical Sociolinguistics. Why – what – how?“ mit Horst Simon","22.–23. Mai 2025, Bristol",
2025-05-16,2025-05-16,event,Tagung: Gattungsspezifik des Pronomengebrauchs (Universität Hamburg),"Vortrag: „‚Nun folgen die Pronomina‘: Pronomen in Fremdsprachenlehrwerken zwischen Vermittlung, Gebrauchsorientierung und Mehrsprachigkeit“ mit Liv Büchler, Natalia Filatkina, Kerstin Roth","16. Mai 2025, Hamburg",
