authors,year,title,venue,type,doi,url,note
"Büchler, Liv",in press,Positionierungsbezogene Funktionen von <i>man</i> in Musterdialogen frühneuzeitlicher Fremdsprachenlehrwerke,"In Antje Dammel, Wolfgang Imo & Jens P. Lanwer (eds.), <i>Pronomengebrauch und</i>  stance taking (Studien zur Pragmatik). Tübingen: Narr.",in_press,,,
"Filatkina, Natalia",2015,Implicit Understandings. Was uns historische Sprachlehrbücher über Sprachbewusstsein und Sprachgebrauch verraten,"In Regula Schmidlin, Heike Behrens & Hans Bickel (eds.), <i>Sprachgebrauch und Sprachbewusstsein: Implikationen für die Sprachtheorie</i>, 71–101. Berlin & Boston: De Gruyter.  ",chapter,https://doi.org/10.1515/9783110428674-005 ,,
"Hübner, Julia & Kerstin Roth",2026,Was ist eigentlich <i>normal</i>? Sprachhistorische Perspektiven auf ein vielschichtiges Konzept,<i>Zeitschrift für Literaturwissenschaft und Linguistik</i> 56(2).  ,in_press,,,
"Roth, Kerstin",2025,Einblicke in den <i>Schlüssel zur Polnischen und Teutschen Sprach</i> von Jeremias Roter (1585–1630),"In Sylvia Brockstieger, Krzysztof Zarski & Dirk Werle (eds.), <i>Identität in Sprache und Literatur. Räume und Konstellationen zwischen Schlesien und Kurpfalz</i>, 19–32. Wiesbaden: Harrassowitz.",chapter,,,
"Hübner, Julia & Natalia Filatkina",2023,Morphosyntax als Beschreibungsgegenstand der frühneuzeitlichen Fremdsprachenlehrwerke,<i>Jahrbuch für Germanistische Sprachgeschichte</i> 14(1). 122–142.,paper,https://doi.org/10.1515/jbgsg-2023-0010,,
"Filatkina, Natalia",2020,Zeit-Muster in frühneuzeitlichen Fremdsprachenlehrwerken zwischen Tradition und Variation,<i>Sprachwissenschaft</i> 45(3). 319–342.,paper,,,
"Filatkina, Natalia",2025,Fremdsprachenlehrwerke aus der Frühen Neuzeit als Textmuster – Textmuster in den Fremdsprachenlehrwerken,"In Claudia Wich-Reif (ed.), <i>Zur Geschichte von Textsorten. Textmuster vom 8. bis zum 18. Jahrhundert Akten zum internationalen Kongress vom 15. bis 17. Juni 2023 an der Rheinischen Friedrich-Wilhelms-Universität Bonn</i> (Berliner Sprachwissenschaftliche Studien 42), 335–359. Berlin: Weidler.  ",chapter,,,
"Filatkina, Natalia",2013,<i>Graw rock rydt nicht</i>. Russisch-niederdeutsche Sprachlehrbücher zwischen zwei Sprachen und Kulturen,<i>Niederdeutsches Wort</i> 53. 39–63.,paper,,,
"Simon, Horst J.",2024,Sprechen lernen mit dem Auge. Intermediale Transferprozesse in Fremdsprachenlehrwerken des 17. Jahrhunderts,"In Mira Becker-Sawatzky, Katrin Wächter, Helge Wendt, Şirin Dadaş, Anne Eusterschulte, Kristiane Hasselmann, Andrew James Johnston, Falk Quenstedt, Claudia Reufer, Hanna Zoe Trauer & Christian Vogel (eds.), <i>Logbuch Wissensgeschichte. Beiträge zu einer transdisziplinären Wissensgeschichte</i> (Episteme in Bewegung 36), 304–309. Wiesbaden: Harrassowitz. ",chapter,,,
"Simon, Horst J.",2006,Reconstructing historical orality in German – what sources can we use?,"In Irma Taavitsainen, Juhani Härmä & Jarmo Korhonen (eds.), <i>Dialogic Language Use – Dimensions du dialogisme – Dialogischer Sprachgebrauch</i> (Mémoires de la Société Néophilologique de Helsinki 66), 7–26. Helsinki: Société Néophilologique. ",chapter,,,
"Hübner, Julia & Horst J. Simon (eds.)",2021,<i>Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen</i> ,"(Episteme in Bewegung 24), Wiesbaden: Harrassowitz. ",volume,https://doi.org/10.13173/9783447117234 ,,
"Büchler, Liv & Horst J. Simon (eds.)",2026,<i>Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Close Reading</i>,"(Episteme in Bewegung 46), Wiesbaden: Harrassowitz. ",in_press,,,
"Filatkina, Natalia",2021,Übersetzungskulturen und Wissensvermittlung im Spiegel frühneuzeitlicher Fremdsprachenlehrwerke ,"In Julia Hübner & Horst J. Simon (eds.), <i>Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen</i> (Episteme in Bewegung 24), 9–31. Wiesbaden: Harrassowitz. ",chapter,,,
"Hübner, Julia & Horst J. Simon",2021,Frühneuzeitliche Fremdsprachenlehrwerke als sprach- und wissensgeschichtlicher Gegenstand,"In Julia Hübner & Horst J. Simon (eds.), <i>Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen</i> (Episteme in Bewegung 24), 1–7. Wiesbaden: Harrassowitz.   ",chapter,,,
"Rapp, Andrea",2025,Was folgt auf die digitale Philologie? Überlegungen zum Stand der Integration von Digitalität in die (altgermanistische) Philologie am Beispiel des Korpus der frühneuhochdeutschen Fremdsprachenlehrwerke ,<i>Mitteilungen des Deutschen Germanistenverbandes</i> 72(4). 398–409.     ,paper,https://doi.org/10.14220/mdge.2025.72.4.398 ,,
"Bandt, Elena, Liv Büchler & Kerstin Roth",in press,<i>Warumb ſchreibeſtu ſo krump</i> – Spuren deutschsprachiger Regionalität und Variation in frühneuzeitlichen Fremdsprachenlehrwerken ,"In Andreas Krogull, Stefaniya Ptashnyk & Kerstin Roth (eds.), <i>Historische Mehrsprachigkeit. Multilinguale Praktiken und Sprachkontakte mit Deutsch vom 15. bis 20. Jahrhundert</i> (Germanistische Bibliothek), Heidelberg: Winter. ",in_press,,,
"Krogull, Andreas, Stefaniya Ptashnyk & Kerstin Roth  (eds.)",in press,<i>Historische Mehrsprachigkeit. Multilinguale Praktiken und Sprachkontakte mit Deutsch vom 15. bis 20. Jahrhundert</i>,"(Germanistische Bibliothek), Heidelberg: Winter.",in_press,,,
"Büchler, Liv",2026,Referenzielle Funktionen des Pronomens <i>man</i> in historischen Fremdsprachenlehrwerken – Potenziale eines Close Reading,"In Liv Büchler  Horst J. Simon, <i>Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Close Reading</i>(Episteme in Bewegung 46), 101–125. Wiesbaden: Harrassowitz. ",in_press,,,
"Büchler, Liv & Horst J. Simon",2026,"Historische Fremdsprachenlehrwerke genau lesen: Quellen, Methoden, Perspektiven   ","In Liv Büchler Horst J. Simon, <i>Fremdsprachenlehrwerke im 17. Jahrhundert. Beiträge zu einem Close Reading</i>(Episteme in Bewegung 46), 3–16. Wiesbaden: Harrassowitz. ",in_press,,,
"Filatkina, Natalia",2024,Sprachvermittlung und die Rolle der „Phraseologie“ in den Fremdsprachenlehrwerken aus der Frühen Neuzeit,"In Anna Gondek, Alina Jurasz, Przemysław Staniewski, Joanna Szczęk & Aleksandra Kamińska (eds.), <i>Interkulturelles und Interdisziplinäres in der Phraseologie und Parömiologie II</i> (Studia Phraseologica et Paroemiologica 10), 67–97. Hamburg: Verlag Dr. Kovač.   ",chapter,,,
"Simon, Horst J.",1996,Zur Problematik einer Geschichte der deutschen Abtönungspartikeln. Fallstudien anhand eines Sprachlehrbuchs von 1424,"<i>Sprachwissenschaft</i> 21(3), 262–300. ",paper,,,
